t,state
95725,1.97626e-323
95726,1.97626e-323
95727,1.97626e-323
95728,1.97626e-323
95729,1.97626e-323
95730,1.97626e-323
95731,1.97626e-323
95732,1.97626e-323
95733,1.97626e-323
95734,1.97626e-323
95735,1.97626e-323
95736,1.97626e-323
95737,1.97626e-323
95738,1.97626e-323
95739,1.97626e-323
95740,1.97626e-323
95741,1.97626e-323
95742,1.97626e-323
95743,1.97626e-323
95744,1.97626e-323
95745,1.97626e-323
95746,1.97626e-323
95747,1.97626e-323
95748,1.97626e-323
95749,1.97626e-323
95750,1.97626e-323
95751,1.97626e-323
95752,1.97626e-323
95753,1.97626e-323
95754,1.97626e-323
95755,1.97626e-323
95756,1.97626e-323
95757,1.97626e-323
95758,1.97626e-323
95759,1.97626e-323
95760,1.97626e-323
95761,1.97626e-323
95762,1.97626e-323
95763,1.97626e-323
95764,1.97626e-323
95765,1.97626e-323
95766,1.97626e-323
95767,1.97626e-323
95768,1.97626e-323
95769,1.97626e-323
95770,1.97626e-323
95771,1.97626e-323
95772,1.97626e-323
95773,1.97626e-323
95774,1.97626e-323
95775,1.97626e-323
95776,1.97626e-323
95777,1.97626e-323
95778,1.97626e-323
95779,1.97626e-323
95780,1.97626e-323
95781,1.97626e-323
95782,1.97626e-323
95783,1.97626e-323
95784,1.97626e-323
95785,1.97626e-323
95786,1.97626e-323
95787,1.97626e-323
95788,1.97626e-323
95789,1.97626e-323
95790,1.97626e-323
95791,1.97626e-323
95792,1.97626e-323
95793,1.97626e-323
95794,1.97626e-323
95795,1.97626e-323
95796,1.97626e-323
95797,1.97626e-323
95798,1.97626e-323
95799,1.97626e-323
95800,1.97626e-323
95801,1.97626e-323
95802,1.97626e-323
95803,1.97626e-323
95804,1.97626e-323
95805,1.97626e-323
95806,1.97626e-323
95807,1.97626e-323
95808,1.97626e-323
95809,1.97626e-323
95810,1.97626e-323
95811,1.97626e-323
95812,1.97626e-323
95813,1.97626e-323
95814,1.97626e-323
95815,1.97626e-323
95816,1.97626e-323
95817,1.97626e-323
95818,1.97626e-323
95819,1.97626e-323
95820,1.97626e-323
95821,1.97626e-323
95822,1.97626e-323
95823,1.97626e-323
95824,1.97626e-323
95825,1.97626e-323
95826,1.97626e-323
95827,1.97626e-323
